seqnames	start	end	strand	gene_id	symbol
chr1	37754572	37865298	-	211484	Tsga10
chr1	37872206	37876298	+	623661	Lipt1
chr1	37878890	37890411	-	69028	Mitd1
chr1	37890553	37898333	+	107734	Mrpl30
chr1	37905923	37916493	-	332427	Lyg2
chr1	37946738	37957759	-	69541	Lyg1
chr1	37983867	37997250	-	98258	Txndc9
chr1	37998010	38055579	+	226982	Eif5b
chr1	38052786	38129662	-	56210	Rev1
chr1	38175991	38664955	-	16764	Aff3
chr1	38794509	38821215	-	381338	Lonrf2
chr1	38863872	38898160	-	98388	Chst10
chr1	38939149	38950276	+	433292	Nms
chr1	38987814	38997236	+	68833	Pdcl3
chr1	39186896	39186992	-	102466631	Mir6349
chr1	39194272	39363240	+	18143	Npas2
chr1	39367851	39371911	+	114641	Rpl31
chr1	39371495	39478747	-	54610	Tbc1d8
chr1	39535554	39546881	+	52846	Cnot11
chr1	39548747	39548840	-	100217461	Snord89
chr1	39551296	39577347	-	67702	Rnf149
chr1	39618406	39651182	-	263764	Creg2
chr1	39665301	39720989	-	619289	Rfx8
chr1	39804141	39805332	-	100042065	Gm3646
chr1	39842428	39847330	-	73426	1700066B17Rik
chr1	39900913	40026310	+	26921	Map4k4
chr1	40076212	40085851	-	100047133	Gm16894
chr1	40084768	40125225	+	16178	Il1r2
chr1	40225080	40316177	+	16177	Il1r1
chr1	40324627	40365471	+	107527	Il1rl2
chr1	40429570	40465415	+	17082	Il1rl1
chr1	40465552	40500854	+	16182	Il18r1
chr1	40515362	40551705	+	16174	Il18rap
chr1	40580227	40630731	+	110895	Slc9a4
chr1	40681712	40768885	+	226999	Slc9a2
chr1	40772040	40790657	-	211798	Mfsd9
chr1	40805601	40855267	+	381339	Tmem182
chr1	41167560	41181252	-	74897	4930448I06Rik
chr1	42648200	42694825	-	66297	Pantr1
chr1	42697146	42700210	+	18993	Pou3f3
chr1	42700336	42703176	+	73100	2900092D14Rik
chr1	42707061	42713454	-	66620	Pantr2
chr1	42750712	42752886	+	104940697	Dalir
chr1	42851233	42905683	+	69527	Mrps9
chr1	42952872	43035449	+	93690	Gpr45
chr1	43047269	43098622	-	73122	Tgfbrap1
chr1	43098710	43115946	+	98404	AI597479
chr1	43123071	43196761	-	14200	Fhl2
chr1	43445751	43570518	+	17974	Nck2
chr1	43730602	43742564	+	78896	1500015O10Rik
chr1	43750231	43827708	-	67883	Uxs1
chr1	43933994	44003000	+	22019	Tpp2
chr1	44009408	44020006	-	433294	Mettl21c
chr1	44086617	44102388	-	75623	Tex30
chr1	44106546	44118773	-	72050	Kdelc1
chr1	44119162	44144771	+	246229	Bivm
chr1	44147744	44181260	+	22592	Ercc5
chr1	44204070	44218931	-	403183	Mettl21e
chr1	44551671	44796836	+	70676	Gulp1
chr1	44739675	44744949	-	75066	4930521E06Rik
chr1	45311538	45349706	+	12825	Col3a1
chr1	45374331	45503282	-	12832	Col5a2
chr1	45795501	45823613	+	73674	Wdr75
chr1	45908070	45926519	-	53945	Slc40a1
chr1	46020415	46030437	-	212225	Stk-ps2
chr1	46066738	46373550	+	227058	Dnah7b
chr1	46425518	46807477	+	100101919	Dnah7c
chr1	46807544	46853509	-	227059	Slc39a10
chr1	47467021	47467125	-	102466969	Mir6350
chr1	49244616	49340431	+	442837	C230029F24Rik
chr1	50909962	51187270	+	56363	Tmeff2
chr1	51218386	51333779	-	442821	9330175M20Rik
chr1	51289126	51302960	+	20324	Cavin2
chr1	51466007	51478399	-	109019	Nabp1
chr1	51507086	51596718	-	100045066	Gm17767
chr1	51749758	51915978	-	17912	Myo1b
chr1	51987148	52107189	+	20849	Stat4
chr1	52119438	52161865	+	20846	Stat1
chr1	52163449	52233232	-	14660	Gls
chr1	52455849	52500448	-	17936	Nab1
chr1	52630705	52651919	+	227094	Nemp2
chr1	52656304	52727318	-	98682	Mfsd6
chr1	52789418	52817688	-	16329	Inpp1
chr1	52845038	52920986	+	227095	Hibch
chr1	52925127	52963260	-	67080	1700019D03Rik
chr1	53061640	53068079	+	17700	Mstn
chr1	53158577	53187617	-	69397	1700019A02Rik
chr1	53189187	53297028	-	227099	Pms1
chr1	53297095	53310245	+	227102	Ormdl1
chr1	53313624	53326343	+	72085	Osgepl1
chr1	53325507	53352752	-	70396	Asnsd1
chr1	53397002	53706784	-	627872	Dnah7a
chr1	53755512	53785215	-	98267	Stk17b
chr1	53806874	54195034	-	329152	Hecw2
chr1	53849424	53849495	+	102465783	Mir7681
chr1	54250683	54368727	+	78016	Ccdc150
chr1	54395877	54439026	-	98488	Gtf3c3
chr1	54473000	54557684	-	241062	Pgap1
chr1	54645340	54926387	-	329154	Ankrd44
chr1	54985169	55027478	-	81898	Sf3b1
chr1	55052770	55072702	+	67876	Coq10b
chr1	55077834	55087932	-	15510	Hspd1
chr1	55088148	55091317	+	15528	Hspe1
chr1	55131245	55154899	+	19070	Mob4
chr1	55170159	55226782	-	74013	Rftn2
chr1	55237177	55240058	+	212679	Mars2
chr1	55300069	55363469	-	75388	Boll
chr1	55405946	55754285	+	227120	Plcl1
chr1	55931241	55972098	+	329159	9130227L01Rik
chr1	56018978	56020203	+	69356	1700003I22Rik
chr1	56636044	56637451	-	71066	Hsfy2
chr1	56793981	56971334	-	212712	Satb2
chr1	56971469	57042513	+	329160	9130024F11Rik
chr1	57200645	57214996	-	407809	BC055402
chr1	57359222	57377544	-	75323	4930558J18Rik
chr1	57377620	57385423	+	73467	1700066M21Rik
chr1	57388244	57406674	-	68736	Tyw5
chr1	57406548	57415958	+	68115	Maip1
chr1	57774861	57948397	+	67198	Spats2l
chr1	57955101	57970084	-	51960	Kctd18
chr1	57985340	58026277	+	68549	Sgo2a
chr1	58029969	58106410	+	11761	Aox1
chr1	58113136	58200452	+	71724	Aox3
chr1	58210397	58268597	+	71872	Aox4
chr1	58278326	58379264	+	213043	Aox2
chr1	58393097	58406548	+	66882	Bzw1
chr1	58411988	58424088	-	12747	Clk1
chr1	58430993	58445486	-	70225	Ppil3
chr1	58445267	58481816	+	65102	Nif3l1
chr1	58462771	58505109	-	18393	Orc2
chr1	58522806	58586333	-	213056	Fam126b
chr1	58586397	58595964	+	66495	Ndufb3
chr1	58652641	58655831	+	100504501	Gm20257
chr1	58658121	58695989	-	108812	Als2cr12
chr1	58711491	58759209	+	12633	Cflar
chr1	58795374	58847503	+	12370	Casp8
chr1	58900450	58973482	-	70827	Trak2
chr1	58973571	58995122	+	227154	Stradb
chr1	59050506	59094900	-	73463	Als2cr11
chr1	59100593	59120382	-	381259	Tmem237
chr1	59120935	59163389	-	227157	Mpp4
chr1	59162756	59237231	-	74018	Als2
chr1	59256907	59352369	+	271697	Cdk15
chr1	59482147	59486955	+	14369	Fzd7
chr1	59516264	59634509	+	381260	Gm973
chr1	59639434	59670834	-	22218	Sumo1
chr1	59685006	59711510	+	55989	Nop58
chr1	59691958	59692010	+	100217459	Snord70
chr1	59704808	59704870	+	100217421	Snord11
chr1	59764279	59878081	+	12168	Bmpr2
chr1	59913006	59985348	+	72750	Fam117b
chr1	59989068	60043122	-	70375	Ica1l
chr1	60076868	60098500	-	57750	Wdr12
chr1	60098247	60153953	+	241066	Carf
chr1	60180599	60334705	+	269198	Nbeal1
chr1	60343300	60388060	+	77951	Cyp20a1
chr1	60409619	60481163	+	329165	Abi2
chr1	60483185	60566765	-	77300	Raph1
chr1	60746388	60773359	+	12487	Cd28
chr1	60909025	60915832	+	12477	Ctla4
chr1	60977914	61000320	+	54167	Icos
chr1	61378432	61395904	+	77341	9530026F06Rik
chr1	61638824	62642284	+	72823	Pard3b
chr1	62703317	62818692	+	18187	Nrp2
chr1	62790918	62794732	-	74992	4930487H11Rik
chr1	63047801	63114267	-	227195	Ino80d
chr1	63114471	63158295	+	100380944	Ino80dos
chr1	63143592	63176822	-	227197	Ndufs1
chr1	63176831	63180486	+	55949	Eef1b2
chr1	63179023	63179135	+	100217464	Snora41
chr1	63182571	63214281	-	241070	Gpr1
chr1	63200358	63314575	+	73884	Zdbf2
chr1	63445891	63596101	+	23792	Adam23
chr1	63622851	63686927	-	241073	Dytn
chr1	63698827	63730318	-	76668	Mdh1b
chr1	63730625	63753385	+	75619	Fastkd2
chr1	63754909	63769267	-	74426	4933402D24Rik
chr1	63964727	63968999	+	433315	Gm13749
chr1	64035663	64121426	-	93691	Klf7
chr1	64042438	64042501	-	102466760	Mir6899
chr1	64532804	64604548	+	12912	Creb1
chr1	64606480	64617206	-	67099	Mettl21a
chr1	64679869	64690659	-	69941	2810408I11Rik
chr1	64691213	64725644	+	227210	Ccnyl1
chr1	64730558	64737750	-	14367	Fzd5
chr1	64785983	64956824	-	241075	Plekhm3
chr1	65013078	65032759	-	70861	Akr1cl
chr1	65048557	65051163	-	12968	Cryge
chr1	65061838	65063440	-	12967	Crygd
chr1	65071525	65073532	-	12966	Crygc
chr1	65080222	65082290	-	12965	Crygb
chr1	65100389	65103363	-	12964	Cryga
chr1	65105285	65123214	-	98303	D630023F18Rik
chr1	65158616	65186479	-	15926	Idh1
chr1	65186683	65278696	+	18711	Pikfyve
chr1	65311257	65389244	+	213527	Pth2r
chr1	65926522	65928304	+	12969	Crygf
chr1	66175329	66442583	+	17756	Map2
chr1	66468447	66699148	+	329178	Unc80
chr1	66700831	66719805	+	66646	Rpe
chr1	66719243	66817595	-	68691	Kansl1l
chr1	66830839	66863309	-	11363	Acadl
chr1	66924295	66945056	-	17901	Myl1
chr1	67000517	67038872	-	14768	Lancl1
chr1	67123027	67231267	+	227231	Cps1
chr1	68032186	69108059	-	13869	Erbb4
chr1	69531207	69685960	-	22779	Ikzf2
chr1	69826970	70725132	+	66722	Spag16
chr1	70725715	70885397	+	320460	Vwc2l
chr1	71027535	71102972	-	12021	Bard1
chr1	71243090	71414910	-	74591	Abca12
chr1	71557156	71579403	+	108147	Atic
chr1	71585473	71653234	-	14268	Fn1
chr1	71652837	71662843	+	100042814	Apol7d
chr1	71888112	71891204	+	667931	Gm8883
chr1	71958998	72005195	-	71134	4933417E11Rik
chr1	72159233	72212307	-	381269	Mreg
chr1	72243993	72274869	+	320933	D230017M19Rik
chr1	72259172	72284314	-	111175	Pecr
chr1	72284373	72302995	+	271711	Tmem169
chr1	72307421	72394953	+	22596	Xrcc5
chr1	72427112	72536564	-	381270	March4
chr1	72583251	72636790	+	54380	Smarcal1
chr1	72642980	72700564	-	319695	Ankar
chr1	72711260	72713813	+	19981	Rpl37a
chr1	72824480	72852474	+	16008	Igfbp2
chr1	72858065	72874865	-	16011	Igfbp5
chr1	73015074	73015899	-	21958	Tnp1
chr1	73016036	73025508	+	69449	1700027A15Rik
chr1	73391385	73407569	-	723792	Pinc
chr1	73398968	73430779	+	78718	D530049I02Rik
chr1	73618381	73864466	-	109198	6030407O03Rik
chr1	73855477	73855575	-	102465179	Mir6351
chr1	73910231	74124449	-	21961	Tns1
chr1	74125541	74148230	+	435626	Rufy4
chr1	74153994	74161246	+	12765	Cxcr2
chr1	74191785	74194631	-	227288	Cxcr1
chr1	74206554	74206620	-	100316687	Mir1928
chr1	74236518	74268213	+	76709	Arpc2
chr1	74278600	74279589	+	227289	Gpbar1
chr1	74279840	74284738	-	227290	Aamp
chr1	74285034	74353692	+	56695	Pnkd
chr1	74288247	74304336	-	69660	Tmbim1
chr1	74362108	74369321	+	241112	Catip
chr1	74375203	74386051	+	18173	Slc11a1
chr1	74391609	74397285	+	227292	Ctdsp1
chr1	74394310	74394394	+	387219	Mir26b
chr1	74409384	74435560	+	22349	Vil1
chr1	74435510	74544286	-	319651	Usp37
chr1	74506060	74530842	+	58184	Cnot9
chr1	74542889	74565977	+	18802	Plcd4
chr1	74566426	74588036	-	77264	Zfp142
chr1	74588289	74592443	+	66821	Bcs1l
chr1	74593748	74601397	-	57751	Rnf25
chr1	74601455	74636894	+	269209	Stk36
chr1	74661754	74697973	+	67534	Ttll4
chr1	74713535	74737897	+	104086	Cyp27a1
chr1	74738922	74748955	-	241113	Prkag3
chr1	74771892	74785319	+	22420	Wnt6
chr1	74792019	74804176	+	22409	Wnt10a
chr1	74855029	74857732	+	12570	Cdk5r2
chr1	74881509	74885408	-	260298	Fev
chr1	74889934	74893143	-	12958	Cryba2
chr1	74900658	74900721	-	723900	Mir375
chr1	74902080	74935599	-	241116	Cfap65
chr1	74945315	74951672	-	16147	Ihh
chr1	74967346	75125226	-	75570	Nhej1
chr1	75125541	75133890	-	22626	Slc23a3
chr1	75135215	75142697	-	69171	Cnppd1
chr1	75142786	75147909	+	227298	Retreg2
chr1	75168646	75171626	+	68818	Zfand2b
chr1	75171640	75180392	-	74104	Abcb6
chr1	75180861	75192010	-	245860	Atg9a
chr1	75192160	75199387	+	52231	Ankzf1
chr1	75198235	75210778	-	74577	Glb1l
chr1	75210829	75215606	+	20872	Stk16
chr1	75214972	75219294	-	22145	Tuba4a
chr1	75220095	75232093	-	381272	A630095N17Rik
chr1	75236423	75245692	+	56812	Dnajb2
chr1	75247041	75264208	-	19275	Ptprn
chr1	75272202	75278380	-	19711	Resp18
chr1	75307940	75317637	-	13437	Dnpep
chr1	75360292	75368579	+	13346	Des
chr1	75368210	75375015	-	100503248	Gm15179
chr1	75375297	75432314	+	11790	Speg
chr1	75435943	75443176	+	69080	Gmppa
chr1	75450510	75474340	+	241118	Asic4
chr1	75474569	75479471	-	74241	Chpf
chr1	75479532	75485693	+	319998	Tmem198
chr1	75485825	75506452	-	98733	Obsl1
chr1	75507077	75510354	+	16322	Inha
chr1	75521529	75537335	+	71728	Stk11ip
chr1	75546266	75559431	+	20536	Slc4a3
chr1	76489133	76502028	+	620079	Gm17751
chr1	76509560	76509643	+	102465175	Mir6343
chr1	77367185	77515088	-	13838	Epha4
chr1	77496653	77496768	-	102465180	Mir6352
chr1	78101267	78197136	-	18505	Pax3
chr1	78310346	78420286	+	433323	Sgpp2
chr1	78417958	78488897	-	23874	Farsb
chr1	78511060	78606964	+	68393	Mogat1
chr1	78657825	78667601	+	195434	Utp14b
chr1	78657825	78707743	+	74205	Acsl3
chr1	78816949	78820025	+	57814	Kcne4
chr1	79434669	79440090	-	20254	Scg2
chr1	79606876	79671972	-	252903	Ap1s3
chr1	79702262	79761769	-	69368	Wdfy1
chr1	79776018	79781445	+	69163	Mrpl44
chr1	79794321	79858665	-	20720	Serpine2
chr1	80198699	80213944	-	241128	Fam124b
chr1	80264923	80340690	-	26554	Cul3
chr1	80445932	80475660	+	72208	1700016L21Rik
chr1	80501068	80758553	-	210293	Dock10
chr1	81076950	81341764	+	241134	Nyap2
chr1	82131916	82132019	+	102466629	Mir6344
chr1	82233105	82291439	-	16367	Irs1
chr1	82316579	82445366	+	76867	Rhbdd1
chr1	82450723	82586849	-	12829	Col4a4
chr1	82586921	82722059	+	12828	Col4a3
chr1	82724890	82752390	+	75734	Mff
chr1	82756649	82768456	-	66261	Tm4sf20
chr1	82839460	82901001	+	15463	Agfg1
chr1	83012523	83038448	-	80721	Slc19a3
chr1	83060930	83061921	+	71386	Krtap28-13
chr1	83116766	83119167	+	20297	Ccl20
chr1	83159762	83210574	+	71227	Daw1
chr1	83255781	83408200	-	77629	Sphkap
chr1	84036293	84341110	-	98496	Pid1
chr1	84218849	84218961	-	102465181	Mir6353
chr1	84369839	84696221	-	227325	Dner
chr1	84695839	84695915	+	100628595	Mir5126
chr1	84721189	84840516	-	14897	Trip12
chr1	84839841	84900486	+	66153	Fbxo36
chr1	84906705	84935083	-	71781	Slc16a14
chr1	85083075	85270566	-	381287	A530032D15Rik
chr1	85112418	85270566	-	620078	C130026I21Rik
chr1	85199611	85213772	+	665378	Gm7609
chr1	85576899	85603891	-	109032	Sp110
chr1	85600703	85645037	+	434484	Sp140
chr1	85649988	85709998	+	20684	Sp100
chr1	85717083	85736606	-	319997	A630001G21Rik
chr1	85751948	85752074	+	102466882	Mir8096
chr1	85775271	85784694	+	77762	9930111H07Rik
chr1	85793447	85851577	+	12283	Cab39
chr1	85894510	85908698	+	64294	Itm2c
chr1	85928483	85931756	+	71141	4933407L21Rik
chr1	85939537	85961055	-	227326	Gpr55
chr1	86021942	86029958	+	70060	Spata3
chr1	86045863	86055456	+	72792	2810459M11Rik
chr1	86064619	86139295	+	70247	Psmd1
chr1	86099037	86111970	-	15559	Htr2b
chr1	86154780	86278284	+	78795	Armc9
chr1	86303221	86307305	+	227327	B3gnt7
chr1	86344719	86359455	-	17975	Ncl
chr1	86351170	86351285	-	100303740	Snora75
chr1	86351981	86352127	-	102465895	Gm24148
chr1	86356260	86356327	-	80828	Snord82
chr1	86359574	86367964	+	319336	C130036L24Rik
chr1	86386242	86389361	-	14767	Nmur1
chr1	86426329	86428049	+	71863	Tex44
chr1	86526736	86530698	+	19231	Ptma
chr1	86543015	86582501	-	18582	Pde6d
chr1	86587100	86606500	+	26895	Cops7b
chr1	86666293	86670573	-	18159	Nppc
chr1	86703804	87050097	+	208718	Dis3l2
chr1	87086690	87089928	-	11650	Alppl2
chr1	87098002	87101606	-	76768	Alpi
chr1	87124973	87127912	+	11648	Akp3
chr1	87147655	87156356	-	13599	Ecel1
chr1	87183314	87188405	+	69453	Prss56
chr1	87190597	87200070	+	11447	Chrnd
chr1	87205811	87211835	+	11449	Chrng
chr1	87213914	87240488	+	26987	Eif4e2
chr1	87264364	87310791	+	98363	Efhd1
chr1	87326998	87450810	+	227331	Gigyf2
chr1	87384577	87394729	-	100040591	Kcnj13
chr1	87470264	87475459	+	73234	Snorc
chr1	87476829	87573870	-	53972	Ngef
chr1	87574027	87597845	+	23956	Neu2
chr1	87620312	87720510	+	16331	Inpp5d
chr1	87756011	87792428	+	77040	Atg16l1
chr1	87784571	87784818	+	100217415	Scarna6
chr1	87803680	87845157	+	20215	Sag
chr1	87853287	87944489	+	227333	Dgkd
chr1	87853347	87854299	-	100503175	Gm19582
chr1	87945121	88008551	-	227334	Usp40
chr1	88055411	88220002	+	394430	Ugt1a10
chr1	88070779	88220002	+	394434	Ugt1a9
chr1	88095001	88220002	+	394432	Ugt1a7c
chr1	88103257	88220002	+	22236	Ugt1a2
chr1	88103257	88220002	+	94284	Ugt1a6a
chr1	88166012	88220002	+	394433	Ugt1a5
chr1	88204732	88205748	-	15504	Dnajb3
chr1	88211959	88220002	+	394436	Ugt1a1
chr1	88227020	88262289	+	100040766	Mroh2a
chr1	88258856	88277579	-	381280	Hjurp
chr1	88303283	88388851	+	171382	Trpm8
chr1	88407010	88426438	+	75396	Spp2
chr1	88499871	88510066	-	14659	Glrp1
chr1	88551517	88562166	+	100503197	Gm19589
chr1	88698225	88702191	-	320982	Arl4c
chr1	88754890	88755733	+	78650	Platr5
chr1	89016113	89022210	+	73475	1700067G17Rik
chr1	89070462	89153793	+	98402	Sh3bp4
chr1	89360342	89406133	-	77331	C030007H22Rik
chr1	89454811	89895282	+	347722	Agap1
chr1	89676507	89683892	-	74403	4933400F21Rik
chr1	89927962	89931176	-	14472	Gbx2
chr1	89952678	90014577	-	208372	Asb18
chr1	90042132	90153401	-	74918	Iqca
chr1	90203980	90215724	+	12778	Ackr3
chr1	90603425	90613341	+	108679	Cops8
chr1	90766860	90843971	-	12835	Col6a3
chr1	90915100	90951142	+	171531	Mlph
chr1	90953108	90954012	+	623503	Prlh
chr1	90958133	90969620	-	19329	Rab17
chr1	90998727	91128944	+	16978	Lrrfip1
chr1	91145103	91170795	+	329207	Rbm44
chr1	91179822	91225196	+	51801	Ramp1
chr1	91250319	91286025	+	67921	Ube2f
chr1	91298338	91321080	+	50880	Scly
chr1	91322075	91348303	+	227357	Espnl
chr1	91351073	91362404	+	70788	Klhl30
chr1	91366430	91374217	+	227358	Erfe
chr1	91373861	91398783	-	67444	Ilkap
chr1	91404879	91406029	-	67086	1700020N18Rik
chr1	91411483	91413222	-	55927	Hes6
chr1	91415982	91459328	-	18627	Per2
chr1	91494668	91529307	+	74019	Traf3ip1
chr1	91540565	91559590	+	65247	Asb1
chr1	91801461	91848034	+	13345	Twist2
chr1	91928779	92180341	-	208727	Hdac4
chr1	92439708	92473758	-	67273	Ndufa10
chr1	92464483	92464542	-	102465542	Mir6900
