seqnames	start	end	strand	gene_id	symbol
chr1	6931461	6934375	-	ENSMUSG00000103329	Gm42492
chr1	6980784	6981446	+	665015	Gm7449
chr1	6986783	6993812	+	ENSMUSG00000102135	Gm37108
chr1	6999983	7000012	+	ENSMUSG00000103282	Gm37275
chr1	7068441	7068765	+	ENSMUSG00000102534	Gm37225
chr1	7083986	7084144	+	ENSMUSG00000102213	Gm37489
chr1	7106139	7107441	+	435608	Gm5694
chr1	7157896	7159234	-	ENSMUSG00000120372	Gm57122
chr1	7158827	7243855	+	319263	Pcmtd1
chr1	7194980	7200090	-	ENSMUSG00000138092	Gm70882
chr1	7206423	7206810	-	ENSMUSG00000098201	Gm26983
chr1	7218334	7222361	+	ENSMUSG00000103509	Gm38372
chr1	7244784	7277977	-	ENSMUSG00000126455	Gm70062
chr1	7247963	7249261	+	ENSMUSG00000048538	Gm9826
chr1	7259966	7260143	-	ENSMUSG00000103709	Nras-ps2
chr1	7276788	7278199	+	ENSMUSG00000126493	Gm70067
chr1	7292187	7831986	+	ENSMUSG00000144281	ENSMUSG00000144281
chr1	7336027	7336156	+	115485783	Gm23274
chr1	7384854	7468544	-	ENSMUSG00000097797	Gm26901
chr1	7385675	7386686	+	100418102	Gm19002
chr1	7480903	7482217	+	ENSMUSG00000103498	Gm18984
chr1	7568192	7588373	+	ENSMUSG00000103067	Gm30414
chr1	7661870	7662155	+	ENSMUSG00000102320	Gm37791
chr1	7667603	7669697	+	665063	Gm7470
chr1	7734305	7735185	+	665069	Rps2-ps2
chr1	7799085	7800789	-	ENSMUSG00000103557	Gm38216
chr1	8159976	8192800	-	ENSMUSG00000132588	Gm39589
chr1	8359885	8369127	+	ENSMUSG00000135709	Gm70752
chr1	8392062	8392773	-	ENSMUSG00000135722	Gm70755
chr1	8429960	9370103	-	71096	Sntg1
chr1	8521184	8523715	-	ENSMUSG00000102647	Gm38024
chr1	8538650	8539049	-	ENSMUSG00000086235	Gm16284
chr1	8547713	8550003	+	ENSMUSG00000123533	Gm69579
chr1	8598004	8601537	-	ENSMUSG00000102253	Gm38259
chr1	8658839	8658948	-	ENSMUSG00002074990	Gm54704
chr1	8713920	8715083	-	ENSMUSG00000103884	Gm37005
chr1	8862147	8862386	-	ENSMUSG00000084353	Gm15452
chr1	8886066	8886263	+	ENSMUSG00000103933	Gm36964
chr1	8886362	8886471	+	ENSMUSG00002075967	Gm54706
chr1	8926152	8926491	-	ENSMUSG00000086195	Gm6152
chr1	8926987	8927326	+	ENSMUSG00000104504	Gm7445
chr1	9006506	9012029	+	ENSMUSG00000123491	Gm69572
chr1	9033220	9033845	-	ENSMUSG00000066693	Gm7493
chr1	9261292	9262341	-	ENSMUSG00000102316	Gm37629
chr1	9328842	9329359	-	ENSMUSG00000103819	Gm38008
chr1	9357147	9360405	+	ENSMUSG00000102871	Gm37143
chr1	9466998	9468912	-	ENSMUSG00000101571	Gm6187
chr1	9507235	9508596	+	102632723	Gm30719
chr1	9509966	9510601	-	100416881	Gm18299
chr1	9520804	9521973	+	ENSMUSG00000102272	Gm7512
chr1	9528895	9528997	+	115487601	Gm24765
chr1	9568871	9707225	-	ENSMUSG00000079671	2610203C22Rik
chr1	9569563	9571747	-	100416882	Gm18300
chr1	9615633	9617680	+	59014	Rrs1
chr1	9618173	9651272	+	76187	Adhfe1
chr1	9644773	9645874	+	620542	Gm6161
chr1	9671354	9697368	+	76982	Vxn
chr1	9709480	9710807	-	ENSMUSG00000099827	Gm29520
chr1	9737632	9770628	-	17864	Mybl1
chr1	9770772	9772671	+	ENSMUSG00000123215	Gm69538
chr1	9788435	9818676	-	70675	Vcpip1
chr1	9817072	9862153	+	105243859	1700034P13Rik
chr1	9832546	9839302	-	ENSMUSG00000128816	Gm70310
chr1	9868021	9971075	+	170755	Sgk3
chr1	9872422	9872778	-	108167613	Gm6195
chr1	9904723	9904827	-	ENSMUSG00002075801	Gm54812
chr1	9926809	10014504	-	73824	Snhg6
chr1	9978835	10012310	+	240697	Mcmdc2
chr1	10012688	10012774	-	266793	Snord87
chr1	10030376	10038157	-	100039596	Tcf24
chr1	10037539	10038912	+	ENSMUSG00000104025	E330040D14Rik
chr1	10038849	10079391	-	69312	Ppp1r42
chr1	10052612	10062591	+	ENSMUSG00000087199	Gm15818
chr1	10060094	10062168	-	ENSMUSG00000121270	Gm57177
chr1	10080039	10080142	-	115487608	Gm24674
chr1	10094826	10108393	-	26754	Cops5
chr1	10108194	10207000	+	211660	Cspp1
chr1	10113063	10128198	-	ENSMUSG00000137212	Gm70832
chr1	10127250	10128169	-	ENSMUSG00000102356	1700047N06Rik
chr1	10207741	10303384	-	211673	Arfgef1
chr1	10236764	10237003	+	ENSMUSG00002076532	Gm54899
chr1	10267306	10269027	-	ENSMUSG00000102556	Gm37569
chr1	10303484	10306330	+	ENSMUSG00000127523	Gm70170
chr1	10353149	10364968	-	ENSMUSG00000123573	Gm69583
chr1	10394945	10790170	-	329093	Cpa6
chr1	10519470	10522214	-	ENSMUSG00000103810	Gm38005
chr1	10548120	10638330	+	ENSMUSG00000130625	Gm70457
chr1	10624323	10625778	-	ENSMUSG00000083422	Gm15604
chr1	10625779	10625885	-	115487592	Gm25253
chr1	10684027	10765759	-	ENSMUSG00000137678	Gm71646
chr1	10765348	10765839	+	102636010	Gm15603
chr1	10852681	10854602	-	ENSMUSG00000103448	Gm37133
chr1	10875505	10876746	+	433271	Gm5522
chr1	10924789	10927623	-	ENSMUSG00000125508	Gm69972
chr1	10938912	10939670	+	115487491	Gm28659
chr1	10950511	10959058	+	ENSMUSG00000130062	Gm70429
chr1	10991894	10991984	+	ENSMUSG00002076499	Gm54912
chr1	11063532	11373920	+	109294	Prex2
chr1	11079866	11097138	+	ENSMUSG00000127757	Gm70185
chr1	11091428	11094036	-	ENSMUSG00000127802	Gm70186
chr1	11204335	11204462	-	115487671	Gm24173
chr1	11293790	11294398	-	ENSMUSG00000101827	Gm28686
chr1	11394841	11422796	+	ENSMUSG00000122491	Gm69426
chr1	11434150	11437188	-	ENSMUSG00000103494	Gm37410
chr1	11456071	11465776	-	ENSMUSG00000143092	Gm71166
chr1	11483881	12046147	+	320492	A830018L16Rik
chr1	11487142	11489612	+	ENSMUSG00000103825	Gm38178
chr1	11678363	11678624	-	ENSMUSG00000099845	Gm29273
chr1	11689686	11694926	-	ENSMUSG00000139014	Gm70926
chr1	11761179	11768308	+	ENSMUSG00000138973	Gm70924
chr1	11774431	11776574	+	ENSMUSG00000103561	Gm38069
chr1	12098640	12131184	-	ENSMUSG00000134440	Gm30974
chr1	12191184	12192056	+	ENSMUSG00000101610	Gm7560
chr1	12303632	12385741	+	ENSMUSG00000141382	Gm71058
chr1	12445160	12445266	+	115487708	Gm22633
chr1	12496210	12496330	+	102465961	Mir6341
chr1	12535206	12591166	-	ENSMUSG00000143719	Gm71199
chr1	12635801	12636607	+	ENSMUSG00000097628	Gm2383
chr1	12726091	12726777	+	ENSMUSG00000098163	Gm6216
chr1	12737787	12760283	+	329096	Gm17644
chr1	12740548	12747658	-	ENSMUSG00000101314	Gm29663
chr1	12762501	12931416	+	240725	Sulf1
chr1	12867469	12884627	-	ENSMUSG00000127288	Gm70119
chr1	12936773	13062982	-	240726	Slco5a1
chr1	13129625	13130175	-	ENSMUSG00000104518	Gm37162
chr1	13131913	13176156	-	ENSMUSG00000141815	Gm39592
chr1	13132249	13132569	+	ENSMUSG00000069620	Gm5250
chr1	13139045	13175975	+	ENSMUSG00000099498	Gm29283
chr1	13183405	13198351	-	383491	Prdm14
chr1	13209329	13444307	-	17978	Ncoa2
chr1	13247686	13249938	-	ENSMUSG00000103506	Gm38376
chr1	13305033	13306658	-	ENSMUSG00000103495	Gm37409
chr1	13332422	13332503	+	ENSMUSG00002076346	Gm55160
chr1	13360036	13360730	-	ENSMUSG00000102639	Gm38223
chr1	13367260	13369131	-	ENSMUSG00000104170	Gm37702
chr1	13395154	13404725	+	ENSMUSG00000134412	Gm70659
chr1	13404722	13404833	-	115487625	Gm23169
chr1	13413787	13418428	-	ENSMUSG00000103085	Gm38120
chr1	13424707	13426954	-	ENSMUSG00000102664	Gm38380
chr1	13431037	13437664	+	ENSMUSG00000134452	Gm70660
chr1	13442674	13458734	+	ENSMUSG00000101476	Gm29570
chr1	13444452	13444941	-	ENSMUSG00000134491	Gm70663
chr1	13462630	13538628	-	ENSMUSG00000122424	Gm39595
chr1	13477236	13477879	-	665341	Gm7593
chr1	13558127	13564775	+	ENSMUSG00000126000	Gm70008
chr1	13632155	13660162	-	72265	Tram1
chr1	13659704	13667319	+	ENSMUSG00000120948	Gm57152
chr1	13660930	13662293	-	ENSMUSG00000131318	Gm70508
chr1	13693554	13730979	-	212442	Lactb2
chr1	13711707	13712972	-	ENSMUSG00000102982	Gm38319
chr1	13730267	13771955	+	381246	Xkr9
chr1	13844558	13844688	-	115485793	Gm26273
chr1	13856107	13857103	-	433273	Gm5523
chr1	13916783	14211751	+	ENSMUSG00000134219	ENSMUSG00000134219
chr1	13917095	13919343	-	ENSMUSG00000102166	Gm36947
chr1	14002602	14002909	+	ENSMUSG00002075174	Gm55173
chr1	14179439	14183043	-	ENSMUSG00000104209	Gm37400
chr1	14239167	14380543	-	14048	Eya1
chr1	14252802	14252901	+	ENSMUSG00002075819	Gm55247
chr1	14325776	14326214	-	ENSMUSG00000102588	Gm37444
chr1	14482531	14535739	+	ENSMUSG00000127312	Gm70120
chr1	14483749	14558046	-	ENSMUSG00000127278	Gm70117
chr1	14626066	14631236	+	ENSMUSG00000140763	Gm71017
chr1	14702169	14704953	-	ENSMUSG00000140464	Gm71006
chr1	14803588	14809409	+	ENSMUSG00000134469	Gm70662
chr1	14823161	14866273	+	ENSMUSG00000054493	Gm9947
chr1	14823503	14826266	-	17681	Msc
chr1	14858869	14863189	+	ENSMUSG00000103492	Gm37412
chr1	14910093	14910380	-	ENSMUSG00000081201	Smt3h2-ps4
chr1	14935296	14936189	+	665407	Rpl5-ps1
chr1	14942872	14989086	-	277328	Trpa1
chr1	15089264	15089383	-	115485804	Gm26345
chr1	15272042	15321629	+	ENSMUSG00000125466	Gm69963
chr1	15339026	15340021	-	100039959	Gm10566
chr1	15356816	15793974	+	98741	Kcnb2
chr1	15401852	15436255	-	ENSMUSG00000128216	Gm70219
chr1	15434526	15436058	+	ENSMUSG00000102937	Gm38116
chr1	15626473	15628561	+	ENSMUSG00000104149	Gm37138
chr1	15640786	15681020	-	ENSMUSG00000137925	Gm51617
chr1	15756159	15756270	-	115485805	Gm25227
chr1	15785607	15861946	-	ENSMUSG00000132707	Gm70576
chr1	15828056	15828187	+	115485792	Gm25168
chr1	15830346	15830892	-	ENSMUSG00000101652	Gm6060
chr1	15830985	15831084	+	ENSMUSG00000100814	Gm28669
chr1	15858637	15867509	+	ENSMUSG00000132745	Gm70578
chr1	15863420	15864828	-	ENSMUSG00000132786	Gm70582
chr1	15875840	15914280	+	21749	Terf1
chr1	15921450	15962959	-	226866	Sbspon
chr1	15923555	15926723	+	ENSMUSG00000104379	Gm37509
chr1	15949754	15950056	+	ENSMUSG00002076565	Gm55274
chr1	16065155	16096748	-	ENSMUSG00000137819	Gm70862
chr1	16123559	16124111	+	665434	Gm7634
chr1	16136200	16163565	-	75799	4930444P10Rik
chr1	16163557	16172645	+	ENSMUSG00000136711	Gm70800
chr1	16169408	16174886	-	19989	Rpl7
chr1	16175555	16203958	+	98711	Rdh10
chr1	16232522	16248784	+	ENSMUSG00000132226	Gm70554
chr1	16278421	16280741	-	ENSMUSG00000104165	Gm38249
chr1	16293941	16590357	-	29819	Stau2
chr1	16298730	16314286	+	ENSMUSG00000100868	Gm28095
chr1	16323764	16413611	+	102634042	Gm7568
chr1	16611012	16689713	-	66799	Ube2w
chr1	16688784	16691763	+	ENSMUSG00000102457	Gm38342
chr1	16708705	16727395	-	67923	Eloc
chr1	16727154	16732505	+	329101	D030040B21Rik
chr1	16733204	16733886	-	ENSMUSG00000100959	Idi1-ps5
chr1	16735407	16748499	+	70397	Tmem70
chr1	16750765	16759243	-	ENSMUSG00000125087	Gm69889
chr1	16758275	16779961	+	17087	Ly96
chr1	16828429	16828847	-	ENSMUSG00000100093	Gm29649
chr1	16838503	16840362	-	545306	Gm5828
chr1	16880184	16919453	+	ENSMUSG00000142287	Gm53492
chr1	16968409	17161855	+	ENSMUSG00000101640	Gm28376
chr1	17001194	17002020	+	ENSMUSG00000104133	4921511E07Rik
chr1	17012318	17168113	-	57339	Jph1
chr1	17168206	17190722	+	ENSMUSG00000127806	ENSMUSG00000127806
chr1	17168769	17194859	-	102634387	Gm31982
chr1	17193217	17199753	+	ENSMUSG00000100110	Gm28783
chr1	17215567	17234578	+	14545	Gdap1
chr1	17238623	17243333	+	ENSMUSG00000099899	Gm28784
chr1	17273099	17275983	+	ENSMUSG00000138285	Gm39597
chr1	17320338	17320716	-	ENSMUSG00000100272	Gm28785
chr1	17408427	17465891	+	ENSMUSG00000137468	Gm71261
chr1	17464784	17484299	-	ENSMUSG00000137506	Gm70848
chr1	17465182	17465653	+	ENSMUSG00000100398	Gm5251
chr1	17467636	17470505	-	ENSMUSG00000101589	Rbm6-ps1
chr1	17499267	17499752	-	ENSMUSG00000102048	Gm6075
chr1	17590225	17590335	+	115485812	Gm25166
chr1	17672078	17701163	+	94227	Pi15
chr1	17685308	17711305	-	102634738	Gm28154
chr1	17746251	17797870	-	102634913	Gm16070
chr1	17797259	17836568	+	83691	Crispld1
chr1	17812139	17875641	-	ENSMUSG00000099895	Gm28153
chr1	17997026	18129280	-	ENSMUSG00000109887	Gm28756
chr1	18017265	18018663	+	ENSMUSG00000100554	Gm7690
chr1	18063234	18069846	-	100417711	Gm18775
chr1	18064037	18067707	+	100416210	Gm17969
chr1	18076185	18086410	-	ENSMUSG00000102001	Gm28755
chr1	18118324	18128493	-	ENSMUSG00000101717	Gm45784
chr1	18185415	18216126	-	78081	Crisp4
chr1	18204225	18230517	+	ENSMUSG00000142595	Gm71137
chr1	18280277	18293788	-	654454	Defb44-ps
chr1	18292406	18293893	-	ENSMUSG00000131994	Gm71262
chr1	18306697	18307667	-	654460	Defb18
chr1	18321204	18335362	-	77673	Defb41
chr1	18332619	18333603	-	100415956	Gm17837
chr1	18378048	18409942	+	ENSMUSG00000132263	Gm70557
chr1	18530615	18533598	-	ENSMUSG00000132383	Gm70562
chr1	18778652	18779560	+	383499	Gm5252
chr1	18782585	18785556	-	ENSMUSG00000134916	Gm70695
chr1	19039986	19040057	-	115485820	Gm24075
chr1	19107490	19107601	+	ENSMUSG00000101644	Gm28343
chr1	19133081	19133359	+	ENSMUSG00000099433	Gm28344
chr1	19133498	19175087	-	102635013	Gm15825
chr1	19173246	19236570	+	226896	Tfap2d
chr1	19223646	19224190	-	ENSMUSG00000100720	Gm10075
chr1	19279138	19309069	+	21419	Tfap2b
chr1	19304989	19312318	-	ENSMUSG00000142982	Gm71158
chr1	19311134	19352220	+	ENSMUSG00000100538	Gm28340
chr1	19390450	19390921	-	118567642	Gm28341
chr1	19401163	19403408	+	226901	Gm4849
chr1	19584079	19584143	-	ENSMUSG00002076883	Gm55451
chr1	19676274	19707336	+	ENSMUSG00000141106	Gm32651
chr1	19684493	19686991	+	ENSMUSG00000102597	Gm38382
chr1	19722061	19722888	-	ENSMUSG00000142065	Gm71104
chr1	20035199	20049770	+	ENSMUSG00000136536	Gm70792
chr1	20128003	20688288	-	241035	Pkhd1
chr1	20132294	20135772	-	ENSMUSG00000104095	Gm37315
chr1	20426633	20462748	+	ENSMUSG00000089914	4930486I03Rik
chr1	20514482	20515034	-	ENSMUSG00000090142	Gm15795
chr1	20515035	20515136	-	115487586	Gm24162
chr1	20740106	20754522	+	105661730	Lincmd1
chr1	20749234	20749306	+	387202	Mir206
chr1	20752993	20753111	+	723817	Mir133b
chr1	20795969	20800962	-	ENSMUSG00000133531	Gm70627
chr1	20801129	20804720	+	16171	Il17a
chr1	20847368	20860841	-	257630	Il17f
chr1	20870791	20890536	-	17215	Mcm3
chr1	20891555	20892740	+	100417924	Gm20587
chr1	20906885	20909913	+	ENSMUSG00000102121	Gm28065
chr1	20912759	20912890	-	115485821	Gm24723
chr1	20958855	20961270	-	77741	6720483E21Rik
chr1	20960452	21009916	+	74229	Paqr8
chr1	20985634	20985764	-	115485789	Gm24171
chr1	20995671	21022230	-	ENSMUSG00000133875	Gm70640
chr1	21015935	21017138	+	ENSMUSG00000100929	Gm28064
chr1	21021780	21062253	+	71877	Efhc1
chr1	21066523	21149475	-	170829	Tram2
chr1	21117716	21135610	+	ENSMUSG00000137435	Gm70840
chr1	21150338	21151972	+	ENSMUSG00000099971	Gm28287
chr1	21236414	21258525	+	ENSMUSG00000129840	ENSMUSG00000129840
chr1	21249212	21257651	+	ENSMUSG00000100819	Gm2693
chr1	21258413	21272437	-	ENSMUSG00000129885	Gm32947
chr1	21278944	21341891	-	ENSMUSG00000099343	Gm28836
chr1	21284461	21300399	+	75712	Tmem14a
chr1	21304946	21307045	+	ENSMUSG00000102633	Gm38224
chr1	21310806	21335885	+	14859	Gsta3
chr1	21342558	21343341	+	101056100	Gm71267
chr1	21342627	21343130	+	ENSMUSG00000096375	Gm7094
chr1	21348044	21420496	-	241041	Gm71569
chr1	21355832	21368351	-	ENSMUSG00000025936	Gm4956
chr1	21363072	21376737	+	ENSMUSG00000141880	Gm71089
chr1	21382741	21386544	-	ENSMUSG00000093963	Gm21909
chr1	21399613	21435444	+	ENSMUSG00000141838	Gm71652
chr1	21419865	21422424	+	368204	Khdc1a
chr1	21424229	21425340	+	ENSMUSG00000086194	Gm16329
chr1	21434275	21439181	-	ENSMUSG00000141922	Gm71091
chr1	21435027	21435254	+	ENSMUSG00000094436	Gm16327
chr1	21438555	21441069	+	433278	Khdc1c
chr1	21442894	21443988	+	ENSMUSG00000085507	Gm2709
chr1	21449779	21450006	+	ENSMUSG00000094926	Gm16533
chr1	21453780	21456597	+	98582	Khdc1b
chr1	21457052	21461904	+	ENSMUSG00000129191	Gm71268
chr1	21461130	21461325	+	ENSMUSG00000085679	Gm16328
chr1	21468627	22032166	-	226922	Kcnq5
chr1	21524915	21527241	-	ENSMUSG00000104138	Gm36949
chr1	21531491	21572729	+	ENSMUSG00000128794	Gm70304
chr1	21582157	21583280	-	665489	Gm7658
chr1	21909172	21910738	-	ENSMUSG00000103748	Gm38243
chr1	21974775	21986407	+	ENSMUSG00000124418	Gm53539
chr1	22030904	22043802	+	ENSMUSG00000123368	Gm69554
chr1	22100288	22100839	-	435612	Gm5696
chr1	22115379	22140369	-	ENSMUSG00000140384	Gm71003
chr1	22155445	22163461	-	ENSMUSG00000124412	Gm69691
chr1	22308073	22308519	+	ENSMUSG00000100418	Gm28239
chr1	22344874	22345628	-	ENSMUSG00000128972	Gm70320
chr1	22345673	22372192	+	ENSMUSG00000135509	Gm70740
chr1	22356133	22845686	-	116837	Rims1
chr1	22779845	22780646	+	ENSMUSG00000097642	Gm26866
chr1	22806981	22813534	-	ENSMUSG00000131366	Gm70511
chr1	22813622	22816733	+	ENSMUSG00000141541	Gm71071
chr1	22998559	23007997	+	ENSMUSG00000128277	Gm70239
chr1	23023944	23026206	-	ENSMUSG00000101468	Gm7761
chr1	23087376	23274754	-	ENSMUSG00000101227	Gm29506
chr1	23139554	23141334	-	66755	Ppp1r14bl
chr1	23151303	23159941	+	ENSMUSG00000141721	Gm71078
chr1	23162794	23166971	+	ENSMUSG00000141755	Gm30442
chr1	23284292	23284412	+	115485803	Gm24176
chr1	23294766	23295488	-	ENSMUSG00000102766	Gm6420
chr1	23295327	23311354	+	ENSMUSG00000134304	Gm53541
chr1	23311350	23311420	+	387225	Mir30a
chr1	23330618	23331016	+	ENSMUSG00000097970	Gm27028
chr1	23330782	23330865	+	723964	Mir30c-2
chr1	23332810	23333156	+	ENSMUSG00000100775	Gm29107
chr1	23340422	23345386	+	ENSMUSG00000133147	Gm70599
chr1	23385037	23385680	-	100418001	Gm20954
chr1	23403467	23436853	-	70155	Ogfrl1
chr1	23500658	23502878	+	ENSMUSG00000138593	Gm70903
chr1	23518620	23519608	+	665782	Gm7784
chr1	23613331	23636859	+	105243890	Gm28822
chr1	23638439	23644800	+	ENSMUSG00000142633	Gm71138
chr1	23800834	23888239	+	280645	B3gat2
chr1	23882260	23961555	-	98366	Smap1
chr1	24010656	24017716	-	ENSMUSG00000141937	Gm71092
chr1	24016741	24039725	+	ENSMUSG00000141893	Gm53062
chr1	24034185	24044758	-	68002	Sdhaf4
chr1	24044586	24044975	+	ENSMUSG00000102495	Gm26524
chr1	24049820	24139592	-	68187	Fam135a
chr1	24139109	24140213	+	ENSMUSG00000143955	Gm71222
chr1	24139706	24142505	+	ENSMUSG00000102398	Gm37580
chr1	24147122	24174262	+	ENSMUSG00000122847	Gm69483
chr1	24164356	24165222	+	ENSMUSG00000097670	Gm26607
chr1	24216691	24291765	+	12839	Col9a1
chr1	24296772	24627011	-	12823	Col19a1
chr1	24377614	24454743	+	ENSMUSG00000125396	Gm69926
chr1	24401230	24402303	+	ENSMUSG00000125434	Gm69961
chr1	24587922	24588058	-	115485770	Gm26418
chr1	24633168	24634504	-	665829	Tubb4b-ps2
chr1	24650616	24651491	-	ENSMUSG00000100131	Gm28439
chr1	24651488	24651781	-	100142658	Gm10222
chr1	24651850	24652265	-	ENSMUSG00000138098	Gm71269
chr1	24651856	24652200	-	ENSMUSG00000101939	Gm28438
chr1	24652270	24653052	-	ENSMUSG00000101111	Gm28437
chr1	24653055	24653732	-	100503946	Atp6-ps
chr1	24653966	24654646	-	ENSMUSG00000102070	Gm28661
chr1	24654787	24655278	-	ENSMUSG00000101249	Gm29216
chr1	24717111	24718211	-	ENSMUSG00000127021	Gm70099
chr1	24717610	24805383	+	68421	Lmbrd1
chr1	24839078	24841674	-	ENSMUSG00000133176	Gm70601
chr1	24858603	24877196	-	ENSMUSG00000129414	Gm70361
chr1	24903623	24909302	+	ENSMUSG00000143216	Gm71173
chr1	24949542	24950740	-	ENSMUSG00000100808	Gm28594
chr1	24978353	24982596	+	ENSMUSG00000130976	Gm70487
chr1	25002290	25004239	-	ENSMUSG00000100483	Gm28237
chr1	25050803	25052291	+	ENSMUSG00000135830	Gm71272
chr1	25051022	25051837	+	669171	Gm9443
chr1	25065590	25066380	-	ENSMUSG00000099392	Gm29414
chr1	25066388	25125071	+	ENSMUSG00000122244	Gm69393
chr1	25106526	25869270	-	210933	Adgrb3
chr1	25262811	25263254	+	ENSMUSG00000080849	Gm15702
chr1	25266150	25273241	+	ENSMUSG00000122289	Gm69397
chr1	25315485	25317035	-	100504323	Gm20172
chr1	25318526	25318632	-	115487583	Gm22260
chr1	25323299	25324329	-	ENSMUSG00000102296	Gm37543
chr1	25335593	25338967	-	ENSMUSG00000103209	Gm37331
chr1	25353357	25356789	-	ENSMUSG00000104027	Gm37211
chr1	25364947	25367479	-	ENSMUSG00000102407	Gm37862
chr1	25385059	25388163	-	ENSMUSG00000103214	Gm38286
chr1	25401645	25404901	-	ENSMUSG00000104100	Gm37880
chr1	25490152	25490255	+	115487617	Gm25294
chr1	25647331	25650265	-	ENSMUSG00000103889	Gm37011
chr1	25654027	25654596	-	ENSMUSG00000101301	Gm29214
chr1	25659319	25662261	-	ENSMUSG00000104221	Gm37051
chr1	25711326	25715320	-	ENSMUSG00000102250	Gm38260
chr1	25725143	25730582	-	ENSMUSG00000102317	Gm37628
chr1	25737078	25739557	+	ENSMUSG00000133748	Gm70633
