seqnames	start	end	width	strand	gene_id	symbol
chr1	8945867	8975092	29226	+	765	CA6
chr1	9003300	9026345	23046	-	155184	SLC2A7
chr1	9035107	9088478	53372	-	6518	SLC2A5
chr1	9100305	9129170	28866	-	80045	GPR157
chr1	9148011	9182392	34382	-	106614088	MIR34AHG
chr1	9151668	9151777	110	-	407040	MIR34A
chr1	9182004	9196284	14281	+	102724571	LNCTAM34A
chr1	9234775	9271337	36563	+	9563	H6PD
chr1	9292880	9369532	76653	+	80176	SPSB1
chr1	9539482	9585179	45698	+	84275	SLC25A33
chr1	9588922	9614873	25952	+	199953	TMEM201
chr1	9651732	9729114	77383	+	5293	PIK3CD
chr1	9652610	9654586	1977	-	644997	PIK3CD-AS1
chr1	9672426	9687555	15130	-	101929074	PIK3CD-AS2
chr1	9729026	9824526	95501	-	22883	CLSTN1
chr1	9848276	9910336	62061	-	56998	CTNNBIP1
chr1	9922113	9943407	21295	-	84328	LZIC
chr1	9942923	9985501	42579	+	64802	NMNAT1
chr1	9967381	9967458	78	+	100847055	MIR5697
chr1	9997206	10016020	18815	+	116362	RBP7
chr1	10032832	10181239	148408	+	10277	UBE4B
chr1	10210805	10381603	170799	+	23095	KIF1B
chr1	10227718	10227803	86	+	100422970	NA
chr1	10398592	10420144	21553	+	5226	PGD
chr1	10430102	10452153	22052	+	100526739	CENPS-CORT
chr1	10430443	10442809	12367	+	378708	CENPS
chr1	10449719	10451902	2184	+	1325	CORT
chr1	10456522	10472526	16005	-	1676	DFFA
chr1	10472288	10630758	158471	+	5195	PEX14
chr1	10636604	10796650	160047	-	54897	CASZ1
chr1	10946471	10982037	35567	-	148345	C1orf127
chr1	11012344	11030528	18185	+	23435	TARDBP
chr1	11026523	11047233	20711	-	10747	MASP2
chr1	11054584	11060024	5441	-	6723	SRM
chr1	11066618	11099881	33264	-	5394	EXOSC10
chr1	11099675	11102100	2426	+	105376736	EXOSC10-AS1
chr1	11106535	11262507	155973	-	2475	MTOR
chr1	11143898	11149537	5640	+	100873935	MTOR-AS1
chr1	11189341	11195981	6641	+	10218	ANGPTL7
chr1	11273206	11296049	22844	+	29914	UBIAD1
chr1	11479166	11537584	58419	+	57540	DISP3
chr1	11609531	11613355	3825	+	101929181	LINC01647
chr1	11648367	11655785	7419	-	26232	FBXO2
chr1	11654375	11663327	8953	+	93611	FBXO44
chr1	11664124	11674354	10231	+	26270	FBXO6
chr1	11674480	11691650	17171	-	10459	MAD2L2
chr1	11691729	11725857	34129	+	374946	DRAXIN
chr1	11736084	11754802	18719	+	57085	AGTRAP
chr1	11761787	11789585	27799	+	284498	C1orf167
chr1	11777077	11779619	2543	-	102724659	LOC102724659
chr1	11785723	11806920	21198	-	4524	MTHFR
chr1	11806096	11843144	37049	+	1185	CLCN6
chr1	11841017	11848079	7063	+	100379251	NPPA-AS1
chr1	11845709	11848345	2637	-	4878	NPPA
chr1	11857464	11858931	1468	-	4879	NPPB
chr1	11908152	11908271	120	+	26829	RNU5E-1
chr1	11919591	11926428	6838	-	90231	KIAA2013
chr1	11934205	11975538	41334	+	5351	PLOD1
chr1	11980181	12013514	33334	+	9927	MFN2
chr1	12019466	12032045	12580	+	60672	MIIP
chr1	12029158	12029222	65	+	102466982	MIR6729
chr1	12063377	12144207	80831	+	943	TNFRSF8
chr1	12166943	12167038	96	+	102465836	MIR7846
chr1	12167003	12209228	42226	+	7133	TNFRSF1B
chr1	12191713	12191773	61	+	100616438	MIR4632
chr1	12230067	12512047	281981	+	55187	VPS13D
chr1	12567910	12617731	49822	-	9249	DHRS3
chr1	12578957	12579023	67	-	102466722	MIR6730
chr1	12644547	12667086	22540	+	343066	AADACL4
chr1	12716115	12728759	12645	+	126767	AADACL3
chr1	12746215	12763699	17485	+	93190	C1orf158
chr1	12774841	12777906	3066	+	390999	PRAMEF12
chr1	12791397	12796628	5232	+	65121	PRAMEF1
chr1	12824605	12831410	6806	-	440560	PRAMEF11
chr1	12847377	12947578	100202	-	343069	HNRNPCL1
chr1	12857086	12861909	4824	+	65122	PRAMEF2
chr1	12879224	12886201	6978	-	400735	PRAMEF4
chr1	12892896	12898270	5375	-	343071	PRAMEF10
chr1	12916610	12920482	3873	+	441871	PRAMEF7
chr1	12938472	13056491	118020	-	440561	PRAMEF6
chr1	13049476	13056491	7016	-	101929983	PRAMEF27
chr1	13115496	13116854	1359	-	440563	HNRNPCL2
chr1	13164586	13165467	882	-	101060301	HNRNPCL4
chr1	13172455	13179464	7010	+	343070	PRAMEF9
chr1	13222695	13226133	3439	-	391003	PRAMEF18
chr1	13254212	13263314	9103	+	343068	PRAMEF5
chr1	13281035	13285174	4140	-	391002	PRAMEF8
chr1	13303509	13322598	19090	+	653619	PRAMEF15
chr1	13342034	13347134	5101	-	729528	PRAMEF14
chr1	13369067	13371693	2627	-	645414	PRAMEF19
chr1	13389632	13392629	2998	+	391004	PRAMEF17
chr1	13410450	13421328	10879	+	645425	PRAMEF20
chr1	13474977	13514048	39072	-	126755	LRRC38
chr1	13583465	13617957	34493	+	10630	PDPN
chr1	13700198	13825079	124882	+	7799	PRDM2
chr1	14598704	15118043	519340	+	23254	KAZN
chr1	15111815	15152464	40650	-	200197	TMEM51-AS1
chr1	15152532	15220480	67949	+	55092	TMEM51
chr1	15164344	15171317	6974	-	727684	C1orf195
chr1	15247272	15400283	153012	+	114827	FHAD1
chr1	15409895	15430343	20449	+	79180	EFHD2
chr1	15438439	15449242	10804	+	11330	CTRC
chr1	15456728	15472091	15364	+	63036	CELA2A
chr1	15465909	15491400	25492	+	51032	CELA2B
chr1	15490832	15526534	35703	-	842	CASP9
chr1	15526813	15592379	65567	+	23341	DNAJC16
chr1	15572353	15585110	12758	-	79814	AGMAT
chr1	15617500	15669044	51545	+	84301	DDI2
chr1	15659869	15661722	1854	+	6248	RSC1A1
chr1	15684332	15734769	50438	+	23207	PLEKHM2
chr1	15736405	15741396	4992	+	284723	SLC25A34
chr1	15742422	15747982	5561	+	388595	TMEM82
chr1	15756607	15786594	29988	+	54751	FBLIM1
chr1	15807169	15809348	2180	-	440567	UQCRHL
chr1	15834474	15848147	13674	-	729614	FLJ37453
chr1	15847864	15940460	92597	+	23013	SPEN
chr1	15941869	15976132	34264	-	7709	ZBTB17
chr1	16004236	16008807	4572	+	149563	SRARP
chr1	16014028	16019594	5567	-	27129	HSPB7
chr1	16018875	16034050	15176	+	1187	CLCNKA
chr1	16043736	16057308	13573	+	1188	CLCNKB
chr1	16057769	16073632	15864	-	348487	FAM131C
chr1	16124337	16156087	31751	-	1969	EPHA2
chr1	16197854	16212609	14756	-	128272	ARHGEF19
chr1	16231700	16237162	5463	-	79363	CPLANE2
chr1	16246839	16352454	105616	-	54455	FBXO42
chr1	16352575	16398145	45571	+	26099	SZRD1
chr1	16387117	16437424	50308	-	374955	SPATA21
chr1	16440672	16460078	19407	+	55707	NECAP2
chr1	16539066	16539575	510	+	100133301	NA
chr1	16562319	16613562	51244	-	55672	NBPF1
chr1	16673003	16673512	510	+	729574	NA
chr1	16733951	16734461	511	-	729587	NA
chr1	16740273	16972979	232707	+	9696	CROCC
chr1	16888538	16889649	1112	-	105376805	LOC105376805
chr1	16974502	16980835	6334	-	4237	MFAP2
chr1	16985958	17011928	25971	-	23400	ATP13A2
chr1	17018722	17054170	35449	-	6390	SDHB
chr1	17066761	17119435	52675	-	11240	PADI2
chr1	17205126	17246005	40880	+	29943	PADI1
chr1	17249098	17284233	35136	+	51702	PADI3
chr1	17277889	17277975	87	+	100616188	MIR3972
chr1	17308195	17364004	55810	+	23569	PADI4
chr1	17372196	17401699	29504	+	353238	PADI6
chr1	17406760	17439724	32965	-	55920	RCC2
chr1	17539835	17697874	158040	+	55160	ARHGEF10L
chr1	17755313	17827063	71751	+	81569	ACTL8
chr1	18065657	18074412	8756	+	101927876	LINC01654
chr1	18107746	18378483	270738	+	84966	IGSF21
chr1	18480982	18486126	5145	+	127707	KLHDC7A
chr1	18631006	18748866	117861	+	5081	PAX7
chr1	18839599	18859682	20084	-	80834	TAS1R2
chr1	18849273	18921121	71849	-	8659	ALDH4A1
chr1	18883202	18883275	74	-	100616120	MIR4695
chr1	18897071	18897148	78	-	100302276	MIR1290
chr1	18904281	18956686	52406	-	126917	IFFO2
chr1	19074506	19210276	135771	-	23352	UBR4
chr1	19210501	19240704	30204	+	101927895	EMC1-AS1
chr1	19215664	19251552	35889	-	23065	EMC1
chr1	19251539	19260128	8590	+	51154	MRTO4
chr1	19265982	19274194	8213	-	246181	AKR7L
chr1	19282558	19289250	6693	-	22977	AKR7A3
chr1	19303965	19312146	8182	-	8574	AKR7A2
chr1	19312326	19329300	16975	+	54896	PQLC2
chr1	19338776	19485539	146764	-	832	CAPZB
chr1	19596977	19629821	32845	+	440574	MINOS1
chr1	19596979	19658056	61078	+	100532736	MINOS1-NBL1
chr1	19640554	19658456	17903	+	4681	NBL1
chr1	19665287	19679562	14276	+	3362	HTR6
chr1	19682213	19799945	117733	-	255104	TMCO4
chr1	19814029	19815278	1250	-	54546	RNF186
chr1	19882513	19912945	30433	+	23252	OTUD3
chr1	19920009	19923617	3609	-	30814	PLA2G2E
chr1	19975431	19980416	4986	-	5320	PLA2G2A
chr1	20028179	20091190	63012	+	5322	PLA2G5
chr1	20111939	20119566	7628	-	26279	PLA2G2D
chr1	20139326	20150386	11061	+	64600	PLA2G2F
chr1	20161253	20177424	16172	-	391013	PLA2G2C
chr1	20184242	20186486	2245	-	101928017	UBXN10-AS1
chr1	20186085	20196048	9964	+	127733	UBXN10
chr1	20290919	20354894	63976	+	127731	VWA5B1
chr1	20360579	20431234	70656	-	339505	LINC01141
chr1	20482391	20486220	3830	-	55450	CAMK2N1
chr1	20499448	20508161	8714	-	79594	MUL1
chr1	20552439	20555010	2572	+	163933	FAM43B
chr1	20588948	20618908	29961	+	978	CDA
chr1	20633455	20651511	18057	+	65018	PINK1
chr1	20633679	20633788	110	+	102464833	MIR6084
chr1	20642657	20652193	9537	-	100861548	PINK1-AS
chr1	20651767	20661544	9778	-	1650	DDOST
chr1	20664014	20718017	54004	-	57576	KIF17
chr1	20719732	20732837	13106	-	400745	SH2D5
chr1	20742661	20787323	44663	-	50809	HP1BP3
chr1	20806292	21176888	370597	-	8672	EIF4G3
chr1	20988314	20988432	119	-	100302155	MIR1256
chr1	21217247	21345504	128258	-	1889	ECE1
chr1	21293290	21299774	6485	+	100506801	LOC100506801
chr1	21440128	21485005	44878	+	84224	NBPF3
chr1	21509372	21578412	69041	+	249	ALPL
chr1	21596215	21669363	73149	-	5909	RAP1GAP
chr1	21678298	21783606	105309	-	84196	USP48
chr1	21812265	21825221	12957	+	401944	LDLRAD2
chr1	21822245	21937297	115053	-	3339	HSPG2
chr1	21977021	21998642	21622	+	23436	CELA3B
chr1	22001656	22012539	10884	+	10136	CELA3A
chr1	22023990	22026048	2059	-	101928043	LINC01635
chr1	22024531	22031225	6695	+	29092	LINC00339
chr1	22052627	22092946	40320	+	998	CDC42
chr1	22117305	22143969	26665	-	54361	WNT4
chr1	22266239	22266300	62	+	100616433	MIR4418
chr1	22451851	22531157	79307	+	9923	ZBTB40
chr1	22563564	22603594	40031	+	2046	EPHA8
chr1	22633308	22633416	109	-	102466615	MIR6127
chr1	22636506	22639608	3103	+	712	C1QA
chr1	22643630	22648110	4481	+	714	C1QC
chr1	22652762	22661538	8777	+	713	C1QB
chr1	22710839	22921500	210662	+	2048	EPHB2
chr1	22719517	22719598	82	+	100616391	MIR4684
chr1	22863159	22863226	68	-	100422914	MIR4253
chr1	22953043	22965338	12296	-	646262	LACTBL1
chr1	23010834	23015850	5017	-	729059	TEX46
chr1	23019448	23083689	64242	+	23028	KDM1A
chr1	23044305	23044372	68	+	100422866	MIR3115
chr1	23057858	23057934	77	-	100616177	NA
chr1	23084023	23177808	93786	-	7798	LUZP1
chr1	23191895	23194729	2835	-	3352	HTR1D
chr1	23284356	23285454	1099	-	100996511	LINC01355
chr1	23304688	23344336	39649	-	10236	HNRNPR
chr1	23359448	23369442	9995	-	80818	ZNF436
chr1	23368997	23371839	2843	+	148898	ZNF436-AS1
chr1	23381061	23424740	43680	-	6920	TCEA3
chr1	23428563	23484568	56006	-	55616	ASAP3
chr1	23506430	23531220	24791	-	1870	E2F2
chr1	23557918	23559794	1877	-	3399	ID3
chr1	23581495	23640568	59074	+	259283	MDS2
chr1	23691779	23696425	4647	+	6135	RPL11
chr1	23743155	23762059	18905	+	6924	ELOA
chr1	23760382	23778287	17906	-	100506963	ELOA-AS1
chr1	23778405	23788232	9828	+	57095	PITHD1
chr1	23790970	23795539	4570	+	11313	LYPLA2
chr1	23795599	23800804	5206	-	2582	GALE
chr1	23801885	23838620	36736	-	3155	HMGCL
chr1	23845077	23868294	23218	-	2517	FUCA1
chr1	23870526	23913362	42837	-	1269	CNR2
chr1	23929070	23929147	78	+	100616492	MIR378F
chr1	23959109	23963462	4354	+	55629	PNRC2
chr1	23964804	23980927	16124	-	10772	SRSF10
chr1	24056035	24112175	56141	-	127294	MYOM3
chr1	24119771	24143121	23351	-	58985	IL22RA1
chr1	24154157	24187959	33803	-	163702	IFNLR1
chr1	24200240	24211693	11454	+	284632	LOC284632
chr1	24319322	24364482	45161	+	57822	GRHL3
chr1	24356999	24416934	59936	-	90529	STPG1
chr1	24415794	24469307	53514	+	57185	NIPAL3
chr1	24502351	24541040	38690	+	11123	RCAN3
chr1	24538802	24556024	17223	-	100506985	LOC100506985
chr1	24556111	24609328	53218	+	400746	NCMAP
chr1	24633066	24673267	40202	+	10250	SRRM1
chr1	24745357	24844324	98968	+	25932	CLIC4
chr1	24899511	24965121	65611	-	864	RUNX3
chr1	24919345	24919416	72	-	102465437	MIR6731
chr1	25023503	25023586	84	+	100616365	MIR4425
chr1	25222679	25232502	9824	-	25949	SYF2
chr1	25242237	25247519	5283	-	57035	RSRP1
chr1	25272393	25330445	58053	+	6007	RHD
chr1	25337917	25362361	24445	+	23585	TMEM50A
chr1	25362249	25430192	67944	-	6006	RHCE
chr1	25430858	25500209	69352	+	55219	MACO1
chr1	25543580	25568886	25307	+	26119	LDLRAP1
chr1	25617468	25786207	168740	+	57134	MAN1C1
chr1	25800176	25823308	23133	+	57190	SELENON
chr1	25813973	25832942	18970	+	56181	MTFR1L
chr1	25818491	25820797	2307	-	646471	LOC646471
chr1	25831913	25859458	27546	-	79000	AUNIP
chr1	25861210	25871253	10044	-	164091	PAQR7
chr1	25884181	25906991	22811	-	3925	STMN1
chr1	25906362	25906454	93	-	100500808	MIR3917
chr1	25959767	25998157	38391	-	5051	PAFAH2
chr1	26019884	26036464	16581	+	2134	EXTL1
chr1	26037252	26046133	8882	-	7780	SLC30A2
chr1	26051304	26068436	17133	-	84676	TRIM63
chr1	26111165	26125543	14379	+	149420	PDIK1L
chr1	26159020	26163962	4943	+	79927	FAM110D
chr1	26169871	26172060	2190	+	51042	ZNF593
chr1	26177403	26189886	12484	+	10256	CNKSR1
chr1	26190561	26202968	12408	+	378807	CATSPER4
chr1	26234153	26279038	44886	+	64793	CEP85
chr1	26279176	26281522	2347	+	83442	SH3BGRL3
chr1	26281328	26318363	37036	-	91544	UBXN11
chr1	26317957	26320523	2567	+	1043	CD52
chr1	26321859	26354130	32272	-	55057	CRYBG2
chr1	26361634	26374522	12889	-	257101	ZNF683
chr1	26410778	26429722	18945	+	79727	LIN28A
chr1	26432282	26471294	39013	+	79947	DHDDS
chr1	26462756	26467282	4527	-	101928324	LOC101928324
chr1	26472450	26475972	3523	+	3151	HMGN2
chr1	26529761	26575030	45270	+	6195	RPS6KA1
chr1	26554542	26554593	52	+	100302190	MIR1976
chr1	26696033	26782104	86072	+	8289	ARID1A
chr1	26787472	26798398	10927	+	55650	PIGV
chr1	26826710	26857602	30893	+	84243	ZDHHC18
chr1	26863138	26864457	1320	+	2810	SFN
chr1	26876133	26890297	14165	-	54707	GPN2
chr1	26890488	26900466	9979	-	63906	GPATCH3
chr1	26900238	26946862	46625	+	10726	NUDC
chr1	26911489	26913966	2478	-	8431	NR0B2
chr1	26949562	26960406	10845	-	126695	KDF1
chr1	26993707	27000898	7192	+	388610	TRNP1
chr1	27005020	27012836	7817	-	115572	TENT5B
chr1	27098815	27166981	68167	-	6548	SLC9A1
chr1	27234516	27308633	74118	+	23038	WDTC1
chr1	27322145	27336400	14256	+	84065	TMEM222
chr1	27325219	27325553	335	+	644961	ACTG1P20
chr1	27342020	27353937	11918	+	84958	SYTL1
chr1	27355184	27366892	11709	-	9064	MAP3K6
chr1	27369112	27374824	5713	-	8547	FCN3
chr1	27379176	27383380	4205	-	388611	CD164L2
chr1	27392644	27395814	3171	+	2827	GPR3
chr1	27404226	27490158	85933	-	10163	WASF2
chr1	27534035	27604431	70397	-	27245	AHDC1
chr1	27612064	27635277	23214	-	2268	FGR
chr1	27666061	27672218	6158	-	2537	IFI6
chr1	27725979	27763122	37144	+	199870	FAM76A
chr1	27773183	27824452	51270	+	23673	STX12
chr1	27830778	27851676	20899	+	5511	PPP1R8
chr1	27834401	27834566	166	+	677774	SCARNA1
chr1	27872543	27886685	14143	+	9473	THEMIS2
chr1	27891524	27914746	23223	-	6118	RPA2
chr1	27934993	27959157	24165	+	27293	SMPDL3B
chr1	27959462	27968096	8635	+	55113	XKR8
chr1	27970344	28088696	118353	-	2140	EYA3
chr1	28147166	28193936	46771	-	5724	PTAFR
chr1	28199456	28233025	33570	-	22826	DNAJC8
chr1	28236109	28246906	10798	+	93974	ATP5IF1
chr1	28259527	28282491	22965	+	83667	SESN2
chr1	28329002	28335967	6966	+	54797	MED18
chr1	28369582	28500369	130788	+	65979	PHACTR4
chr1	28505943	28539300	33358	+	1104	RCC1
chr1	28505980	28510892	4913	+	8420	SNHG3
chr1	28507366	28507571	206	+	6080	SNORA73A
chr1	28508559	28508762	204	+	26768	SNORA73B
chr1	28553085	28578545	25461	+	54952	TRNAU1AP
chr1	28578538	28582983	4446	-	85028	SNHG12
chr1	28578749	28578822	74	-	692212	SNORD99
chr1	28579764	28579893	130	-	677838	SNORA61
chr1	28580381	28580512	132	-	677825	SNORA44
chr1	28580920	28581056	137	-	692073	SNORA16A
chr1	28589323	28643085	53763	-	6883	TAF12
chr1	28592200	28595443	3244	+	115273	RAB42
chr1	28648600	28648733	134	+	26824	RNU11
chr1	28668732	28719353	50622	+	10691	GMEB1
chr1	28736621	28769775	33155	+	51441	YTHDF2
chr1	28812142	28871267	59126	+	4985	OPRD1
chr1	28887091	29120046	232956	+	2035	EPB41
chr1	29119428	29123935	4508	-	399474	TMEM200B
chr1	29147743	29181987	34245	-	6429	SRSF4
chr1	29192873	29230942	38070	-	51102	MECR
chr1	29236516	29326813	90298	+	10076	PTPRU
chr1	29329620	29350114	20495	-	101928460	LINC01756
chr1	30013952	30037612	23661	-	101929406	LINC01648
chr1	30711277	30723587	12311	-	4146	MATN1
chr1	30718504	30726827	8324	+	100129196	MATN1-AS1
chr1	30732469	30757820	25352	-	7805	LAPTM5
chr1	30739156	30739232	77	-	100616164	MIR4420
chr1	30869467	30908761	39295	-	9672	SDC3
chr1	30931506	31065991	134486	-	9698	PUM1
chr1	31179745	31239554	59810	-	79570	NKAIN1
chr1	31259568	31296782	37215	-	9410	SNRNP40
chr1	31296982	31364953	67972	+	51538	ZCCHC17
chr1	31365625	31376850	11226	-	2170	FABP3
chr1	31409565	31434680	25116	+	347735	SERINC2
chr1	31518435	31524245	5811	+	284551	LINC01226
chr1	31576485	31587686	11202	+	64129	TINAGL1
chr1	31617686	31632518	14833	+	3061	HCRTR1
chr1	31629862	31644896	15035	-	553115	PEF1
chr1	31652247	31704319	52073	-	1307	COL16A1
chr1	31727117	31764893	37777	-	576	ADGRB2
chr1	31758660	31758735	76	-	100423028	MIR4254
chr1	31790422	31816051	25630	-	90853	SPOCD1
chr1	31906421	31944856	38436	-	8073	PTP4A2
chr1	32013829	32060850	47022	+	10657	KHDRBS1
chr1	32072031	32102866	30836	+	55116	TMEM39B
chr1	32086949	32087007	59	+	100847018	MIR5585
chr1	32108038	32176568	68531	+	23633	KPNA6
chr1	32179686	32198285	18600	+	200081	TXLNA
chr1	32200386	32205387	5002	+	79140	CCDC28B
chr1	32205661	32208687	3027	+	55721	IQCC
chr1	32209094	32216196	7103	+	149069	DCDC2B
chr1	32214472	32222359	7888	-	56063	TMEM234
chr1	32221928	32231604	9677	+	8668	EIF3I
